latitude,longitude,nom_commune_complet,nom_departement,nom_region
45.9696520061,5.57627261783,Hauteville-Lompnes,Ain,Auvergne-Rhône-Alpes
45.9061631889,5.54077986031,Hostiaz,Ain,Auvergne-Rhône-Alpes
46.0317412192,5.70267027388,Haut Valromey,Ain,Auvergne-Rhône-Alpes
46.0317412192,5.70267027388,Haut Valromey,Ain,Auvergne-Rhône-Alpes
46.0317412192,5.70267027388,Haut Valromey,Ain,Auvergne-Rhône-Alpes
46.0317412192,5.70267027388,Haut Valromey,Ain,Auvergne-Rhône-Alpes
46.1866986838,4.88840344003,Illiat,Ain,Auvergne-Rhône-Alpes
46.0497734524,5.75991363273,Injoux-Génissiat,Ain,Auvergne-Rhône-Alpes
46.0497734524,5.75991363273,Injoux-Génissiat,Ain,Auvergne-Rhône-Alpes
45.7919647191,5.57389398559,Innimond,Ain,Auvergne-Rhône-Alpes
46.0381623415,5.52447901164,Izenave,Ain,Auvergne-Rhône-Alpes
46.2179780137,5.56258251719,Izernore,Ain,Auvergne-Rhône-Alpes
45.6557496407,5.63909140794,Izieu,Ain,Auvergne-Rhône-Alpes
45.9777239103,4.75984637871,Jassans-Riottier,Ain,Auvergne-Rhône-Alpes
46.2150037064,5.31215372338,Jasseron,Ain,Auvergne-Rhône-Alpes
46.3660828991,5.11429701617,Jayat,Ain,Auvergne-Rhône-Alpes
46.1464982407,5.33452833151,Journans,Ain,Auvergne-Rhône-Alpes
45.9499899849,5.10261326872,Joyeux,Ain,Auvergne-Rhône-Alpes
46.0497041467,5.41094771899,Jujurieux,Ain,Auvergne-Rhône-Alpes
46.0932491295,5.49438685213,Labalme,Ain,Auvergne-Rhône-Alpes
45.8917015798,5.32917518895,Lagnieu,Ain,Auvergne-Rhône-Alpes
46.2469919709,4.89933490972,Laiz,Ain,Auvergne-Rhône-Alpes
46.1479592076,5.71829194244,Le Poizat-Lalleyriat,Ain,Auvergne-Rhône-Alpes
46.1479592076,5.71829194244,Le Poizat-Lalleyriat,Ain,Auvergne-Rhône-Alpes
46.1323202721,5.84050985141,Lancrans,Ain,Auvergne-Rhône-Alpes
46.0544405897,5.54127421165,Lantenay,Ain,Auvergne-Rhône-Alpes
